Code,Name,Old Location,New Location,Coming Stock,Stock
,,,,0.0,3.0
,,,,0.0,152.0
PR3090,R-03-03_3090 Electric Hot Water Urn 15L _DP_CAS_,R-03-03,R-03-03,8,0
,,,,0.0,0.0
,,,,0.0,36.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,0.0,38.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,19.0
,,,,0.0,9.0
,,,,0.0,5.0
,,,,0.0,0.0
,,,,8.0,5.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,24.0
,,,,0.0,15.0
,,,,15.0,0.0
,,,,0.0,0.0
,,,,0.0,4.0
,,,,0.0,7.0
,,,,29.0,-10.0
,,,,30.0,17.0
,,,,0.0,5.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,7.0
,,,,0.0,40.0
,,,,0.0,1.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,17.0
,,,,0.0,7.0
,,,,0.0,14.0
,,,,0.0,0.0
Pr3393,,,Y-03-02,,
PR4265,,,Y-08-01,,
,,,,0.0,2.0
,,,,0.0,7.0
,,,,0.0,0.0
,,,,0.0,8.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,8.0
,,,,10.0,10.0
,,,,0.0,1.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,10.0
,,,,0.0,7.0
,,,,0.0,0.0
,,,,0.0,16.0
,,,,0.0,0.0
,,,,0.0,27.0
,,,,0.0,13.0
,,,,0.0,4.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,7.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,7.0
,,,,50.0,22.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,17.0
,,,,0.0,16.0
,,,,0.0,1.0
,,,,0.0,12.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,52.0,-20.0
,,,,0.0,23.0
,,,,10.0,4.0
,,,,10.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,0.0,5.0
,,,,0.0,1.0
,,,,0.0,9.0
,,,,0.0,6.0
,,,,0.0,11.0
,,,,0.0,8.0
,,,,0.0,13.0
Aroma_humidi_0062,,,C-01-03,,
PR4370,,,Y-07-02,,
COMPUTER_DESK_140CM,,,Z-04-01,,
,,,,0.0,4.0
,,,,0.0,6.0
,,,,0.0,13.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,0.0,20.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,0.0,0.0
,,,,0.0,3.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,5.0
,,,,0.0,4.0
,,,,0.0,10.0
,,,,0.0,5.0
,,,,0.0,0.0
Pr3797,,,Y-04-01,,
UNTING_CAM_12MP_TR4448,,,E-06-02,,
PR3820,,,Y-05-02,,
WTD803_PTZ_SOLAR__TR4453,,,B-02-05,,
PR1501,M1-06-03_1501 GPS Drone,M1-06-03,L-06-306,10,0
,,,,0.0,0.0
,,,,0.0,12.0
,,,,0.0,12.0
,,,,0.0,2.0
,,,,0.0,13.0
,,,,0.0,0.0
,,,,0.0,22.0
,,,,0.0,20.0
,,,,0.0,0.0
,,,,0.0,1.0
BATTERY_CHARGER_LED,,,C-08-02,,
,,,,0.0,14.0
,,,,0.0,4.0
,,,,10.0,0.0
,,,,0.0,23.0
,,,,30.0,-12.0
,,,,0.0,15.0
,,,,0.0,6.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,36.0
,,,,0.0,9.0
,,,,0.0,11.0
,,,,0.0,13.0
,,,,0.0,15.0
,,,,0.0,36.0
,,,,0.0,9.0
,,,,0.0,11.0
,,,,0.0,13.0
,,,,0.0,24.0
,,,,0.0,30.0
,,,,0.0,12.0
,,,,0.0,0.0
,,,,20.0,-2.0
,,,,0.0,0.0
,,,,0.0,35.0
,,,,0.0,21.0
,,,,0.0,6.0
,,,,15.0,5.0
,,,,0.0,9.0
,,,,0.0,22.0
,,,,0.0,6.0
,,,,0.0,4.0
,,,,0.0,5.0
,,,,0.0,2.0
,,,,0.0,7.0
,,,,0.0,16.0
,,,,0.0,26.0
,,,,0.0,25.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,21.0
,,,,0.0,0.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,20.0,0.0
,,,,16.0,-4.0
,,,,10.0,0.0
,,,,10.0,0.0
,,,,12.0,7.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,2.0
,,,,0.0,3.0
,,,,0.0,5.0
,,,,0.0,4.0
,,,,0.0,2.0
,,,,0.0,7.0
,,,,0.0,0.0
,,,,0.0,15.0
,,,,0.0,13.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,1.0
,,,,0.0,9.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,12.0
,,,,0.0,0.0
,,,,40.0,-5.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
,,,,0.0,0.0
