Code,Name,Old Location,New Location,Coming Stock,Stock
A3214,nan,nan,,nan,nan
A1313,nan,nan,,nan,nan
A3213,nan,nan,,nan,nan
A2060,nan,nan,,nan,nan
A2941,nan,nan,,nan,nan
CAROUSEL_20JARS,nan,nan,,nan,nan
A728,nan,nan,,nan,nan
A2647,nan,nan,,nan,nan
A2646,nan,nan,,nan,nan
A1020,nan,nan,,nan,nan
A1532,nan,nan,,nan,nan
A1419,nan,nan,,nan,nan
A3917,nan,nan,,nan,nan
A4250,nan,nan,,nan,nan
A3731,nan,nan,,nan,nan
A3732,nan,nan,,nan,nan
A4442,nan,nan,,nan,nan
A4444,nan,nan,,nan,nan
A4443,nan,nan,,nan,nan
A3050,nan,nan,,nan,nan
A1255,nan,nan,,nan,nan
A4516,nan,nan,,nan,nan
A3918,nan,nan,,nan,nan
A3921,nan,nan,,nan,nan
A3920,nan,nan,,nan,nan
A1592,nan,nan,,nan,nan
A4012,nan,nan,,nan,nan
A3369,nan,nan,,nan,nan
A3919,nan,nan,,nan,nan
A2516,nan,nan,,nan,nan
A4733,nan,nan,,nan,nan
A2061,nan,nan,,nan,nan
A4418,nan,nan,,nan,nan
A3353,nan,nan,,nan,nan
HELMET_SPORT,nan,nan,,nan,nan
120SPEAKER_STAND_TR1034 ,nan,nan,,nan,nan
WALL_SHELF_ROUND,nan,nan,,nan,nan
OZONE_GEN_10G,nan,nan,,nan,nan
